iter	Passed	Remaining
0	88	107122
1	168	101484
2	252	101566
3	320	96719
4	402	96977
5	441	88558
6	520	89421
7	579	87025
8	654	87395
9	733	88029
10	820	89474
11	892	89084
12	972	89568
13	1042	89063
14	1122	89396
15	1203	89847
16	1287	90368
17	1374	91051
18	1449	90853
19	1528	90973
20	1617	91578
21	1691	91332
22	1784	92086
23	1857	91791
24	1945	92215
25	2021	92035
26	2093	91744
27	2173	91734
28	2248	91559
29	2327	91547
30	2399	91263
31	2471	90987
32	2545	90781
33	2617	90527
34	2693	90418
35	2759	89985
36	2833	89814
37	2920	90066
38	2997	89996
39	3065	89666
40	3132	89319
41	3207	89203
42	3278	88989
43	3355	88930
44	3430	88803
45	3493	88393
46	3561	88127
47	3639	88106
48	3713	87982
49	3799	88144
50	3866	87874
51	3939	87718
52	4035	88093
53	4132	88457
54	4207	88366
55	4273	88074
56	4351	88015
57	4420	87809
58	4492	87633
59	4565	87503
60	4647	87536
61	4726	87517
62	4810	87584
63	4884	87471
64	4967	87502
65	5042	87411
66	5120	87349
67	5201	87350
68	5277	87263
69	5317	86599
70	5389	86454
71	5466	86396
72	5557	86553
73	5636	86524
74	5717	86519
75	5800	86549
76	5880	86531
77	5957	86467
78	6033	86381
79	6102	86193
80	6173	86041
81	6257	86076
82	6337	86058
83	6412	85959
84	6493	85943
85	6562	85769
86	6654	85890
87	6735	85876
88	6818	85881
89	6890	85746
90	6965	85658
91	7033	85473
92	7106	85349
93	7179	85242
94	7253	85129
95	7329	85055
96	7404	84957
97	7479	84870
98	7560	84840
99	7631	84711
100	7710	84664
101	7780	84513
102	7849	84361
103	7930	84333
104	8010	84296
105	8099	84358
106	8170	84219
107	8257	84256
108	8339	84231
109	8423	84233
110	8499	84151
111	8572	84043
112	8652	83993
113	8741	84042
114	8827	84056
115	8898	83919
116	8969	83787
117	9039	83649
118	9113	83552
119	9195	83527
120	9280	83526
121	9362	83498
122	9435	83384
123	9507	83270
124	9581	83168
125	9666	83159
126	9739	83054
127	9831	83103
128	9907	83021
129	9985	82958
130	10056	82833
131	10133	82759
132	10215	82723
133	10310	82793
134	10383	82681
135	10466	82657
